type,tfidf_cnt,tfidf&tar_cnt,tech_cnt,tech&tar_cnt,agentList_cnt,problem_cnt,problem&tar_cnt,func_cnt,func&tar_cnt,applicantFirst,target
1,30,0,104,1,1,1,0,19,0,上海智臻智能网络科技股份有限公司,1
1,1,0,72,0,2,1,0,19,0,上海壹账通金融科技有限公司,1
1,30,0,126,0,1,1,0,23,0,中国科学院遥感与数字地球研究所,1
1,1,0,67,0,1,1,0,13,0,北京知行信科技有限公司,0
1,30,0,184,0,1,57,0,22,0,华北理工大学,1
1,30,0,1,0,1,1,0,1,0,上海智臻智能网络科技股份有限公司,1
1,1,0,76,0,2,25,0,12,0,上海智臻智能网络科技股份有限公司,1
1,1,0,100,0,1,24,0,10,0,百度在线网络技术(北京)有限公司,1
1,30,0,98,0,1,21,0,10,0,百度在线网络技术(北京)有限公司,1
1,30,0,97,0,1,1,0,23,0,梁威,1
1,30,1,96,1,1,43,1,13,0,陈飞,1
1,30,0,57,0,1,1,0,8,0,竹间智能科技(上海)有限公司,1
1,30,1,96,1,1,43,1,13,0,陈飞,1
1,30,0,36,0,1,1,0,11,0,中国科学院计算技术研究所,1
1,30,0,65,0,1,27,0,9,0,上海智臻智能网络科技股份有限公司,1
1,30,0,63,0,1,24,0,11,0,上海智臻智能网络科技股份有限公司,1
1,1,0,97,0,1,1,0,15,0,上海智臻智能网络科技股份有限公司,1
1,30,1,85,1,1,28,1,19,0,上海宝信软件股份有限公司,1
1,30,0,96,0,1,1,0,10,0,南京大学,1
1,30,0,64,0,1,1,0,14,0,江苏省现代企业信息化应用支撑软件工程技术研发中心,0
1,30,0,50,0,1,1,0,1,0,无锡雅座在线科技发展有限公司,1
1,30,1,80,1,1,14,1,22,0,国网福建省电力有限公司,1
1,30,0,54,0,1,1,0,7,0,电子科技大学,1
1,30,0,1,0,2,1,0,1,0,国家电网公司,0
1,1,0,86,0,1,1,0,14,0,成都中建科联网络科技有限公司,1
1,30,0,49,0,1,1,0,7,0,电子科技大学,1
1,30,0,110,0,1,1,0,23,0,上海交通大学,1
1,30,0,122,0,1,1,0,21,0,合肥工业大学,1
1,30,0,122,0,1,1,0,21,0,合肥工业大学,0
1,30,0,84,0,2,37,0,30,0,长园深瑞继保自动化有限公司,0
1,30,0,92,0,1,1,0,11,0,上海云叟网络科技有限公司,1
1,30,0,96,0,2,1,0,1,0,西门子共同研究公司,1
1,30,0,137,0,2,1,0,1,0,美国西门子医疗解决公司,1
1,30,0,274,0,1,107,0,31,0,王伟,1
1,30,0,101,0,2,1,0,24,0,新加坡国立大学,1
1,30,0,87,0,1,32,0,7,0,上海云叟网络科技有限公司,1
1,30,0,167,0,1,51,0,25,0,大连楼兰科技股份有限公司,0
1,30,0,96,0,1,1,0,27,0,国网江西省电力公司赣西供电分公司,1
1,1,0,69,0,1,1,0,13,0,广州佳宸信息科技有限公司,1
1,30,0,111,0,1,36,0,23,0,东莞中国科学院云计算产业技术创新与育成中心,1
1,30,0,49,0,1,1,0,11,0,江苏东方金钰智能机器人有限公司,1
1,1,0,110,0,2,49,0,15,0,广州佰聆数据股份有限公司,1
1,27,0,74,0,1,48,0,3,0,上海云叟网络科技有限公司,1
1,1,0,130,0,2,1,0,30,0,厦门理工学院,0
1,1,0,169,0,1,1,0,21,0,中国海洋石油集团有限公司,1
1,1,0,162,0,1,1,0,18,0,北京华宇元典信息服务有限公司,1
1,30,0,168,0,1,1,0,21,0,中国海洋石油总公司,1
1,1,0,83,0,1,25,0,7,0,湖南移商动力网络技术有限公司,0
1,1,0,86,0,1,1,0,1,0,湖南移商动力网络技术有限公司,1
1,30,0,39,1,2,13,0,10,0,北京国双科技有限公司,1
1,30,0,117,0,1,57,0,19,0,镇江诺尼基智能技术有限公司,1
1,30,0,49,0,2,26,0,1,0,谷歌公司,1
1,1,0,132,0,1,36,0,10,0,重庆邮电大学,1
1,30,0,45,0,1,1,0,5,0,竹间智能科技(上海)有限公司,1
1,30,0,28,0,2,1,0,1,0,谷歌公司,1
1,30,0,38,1,1,14,0,5,0,竹间智能科技(上海)有限公司,1
1,30,0,33,0,1,1,0,6,0,广州幽联信息技术有限公司,1
1,30,0,107,0,1,1,0,27,0,珠海市智汽电子科技有限公司,1
1,30,0,57,0,1,21,0,13,0,中科鼎富(北京)科技发展有限公司,1
1,30,0,111,0,1,1,0,37,0,珠海市智汽电子科技有限公司,1
1,30,0,68,0,2,16,0,15,0,百度在线网络技术(北京)有限公司,1
1,30,0,186,0,2,17,0,39,0,复旦大学,1
1,1,0,95,0,1,35,0,12,0,长沙学院,1
1,30,0,46,1,2,11,0,9,0,腾讯科技(上海)有限公司,1
1,1,0,84,0,1,1,0,22,0,王大江,1
1,30,0,59,0,1,1,0,9,0,哈尔滨工程大学,1
1,30,0,133,0,1,42,0,1,0,李晓望,1
1,30,0,201,0,1,43,0,31,0,天津贝德曼科技有限公司,1
1,30,0,1,0,2,1,0,1,0,北京紫平方信息技术股份有限公司,1
1,30,0,206,0,1,1,0,32,0,北京中海纪元数字技术发展股份有限公司,1
1,1,0,206,0,1,1,0,32,0,北京中海纪元数字技术发展股份有限公司,1
1,30,0,77,0,1,36,0,11,0,郑茂,1
1,30,0,72,0,1,21,0,1,0,微软公司,1
1,30,0,106,0,1,29,0,16,0,山西大学,1
1,1,0,22,0,1,1,0,1,0,威盛电子股份有限公司,1
1,1,0,78,0,1,1,0,16,0,杭州网蛙科技有限公司,1
1,30,0,143,0,1,31,0,14,0,上海海洋大学,1
1,30,0,88,0,1,1,0,16,0,浪潮软件集团有限公司,1
1,30,0,143,0,1,49,0,25,0,广州速鸿信息科技有限公司,1
1,30,0,69,0,1,1,0,9,0,中兴耀维科技江苏有限公司,1
1,1,0,56,0,2,1,0,16,0,中兴通讯股份有限公司,1
1,1,0,51,0,1,26,0,1,0,山东高速股份有限公司,1
1,30,0,151,0,1,57,0,24,0,宁波薄言信息技术有限公司,1
1,30,0,35,0,1,1,0,12,0,乐天株式会社,1
1,30,0,143,1,1,1,0,9,0,南京信息工程大学,1
1,1,0,110,0,1,6,0,31,0,北京理工大学,1
1,30,0,51,0,1,1,0,15,0,网易(杭州)网络有限公司,1
1,1,0,111,0,1,1,0,11,0,大连丰泰保险信息咨询有限公司,0
1,30,0,42,0,1,1,0,7,0,张龙哺,1
1,30,0,180,0,1,75,0,24,0,宁波薄言信息技术有限公司,1
1,30,0,48,0,1,1,0,7,0,张龙哺,1
1,30,0,33,0,1,1,0,1,0,汤姆逊许可公司,1
1,1,0,134,0,1,33,0,9,0,神思电子技术股份有限公司,1
1,1,0,146,0,2,1,0,25,0,无锡同芯微纳科技有限公司,1
1,1,0,107,0,1,1,0,21,0,南京南瑞集团公司,1
1,30,0,42,0,1,18,0,5,0,上海智臻智能网络科技股份有限公司,1
1,1,0,77,0,1,22,0,14,0,东北师范大学,1
1,30,0,148,0,1,1,0,15,0,重庆大学,1
1,30,0,43,0,1,1,0,11,0,上海联影医疗科技有限公司,1
1,30,0,85,1,2,1,0,12,0,上海智臻智能网络科技股份有限公司,1
1,30,0,231,0,1,1,0,14,0,同济大学,1
1,30,0,52,1,1,1,0,12,0,上海理工大学,1
1,1,0,32,0,1,1,0,14,0,上海对岸信息科技有限公司,1
1,30,0,62,1,1,1,0,12,0,上海理工大学,1
1,30,0,91,0,1,1,0,21,0,成都四方伟业软件股份有限公司,1
1,30,0,38,0,1,1,0,10,0,上海对岸信息科技有限公司,1
1,30,0,50,0,1,1,0,15,0,江苏东方金钰智能机器人有限公司,1
1,30,0,112,0,1,1,0,18,0,江苏大学,1
1,30,0,116,1,1,54,1,12,0,北京护航科技有限公司,1
1,1,0,195,0,1,39,0,20,0,赵维平,1
1,30,0,64,1,2,1,0,9,0,上海智臻智能网络科技股份有限公司,1
1,1,0,103,0,1,37,0,20,0,深圳市前海众兴电子商务有限公司,1
1,30,0,305,0,1,61,0,33,0,中国石化集团胜利石油管理局,0
1,30,0,99,0,1,1,0,15,0,南京威卡尔软件有限公司,1
1,30,0,48,0,1,13,0,10,0,北京云知声信息技术有限公司,1
1,30,0,114,0,1,9,0,20,0,中国电信股份有限公司,1
1,30,0,77,1,2,1,0,10,0,上海智臻智能网络科技股份有限公司,1
1,30,0,53,0,1,17,0,10,0,北京云知声信息技术有限公司,1
1,30,0,157,0,1,1,0,15,0,长江大学,1
1,30,0,119,0,1,1,0,26,0,同方知网(北京)技术有限公司,1
1,30,0,149,0,1,1,0,18,0,北京百和园科技有限公司,0
1,30,0,94,0,2,37,0,22,0,中国科学院深圳先进技术研究院,0
1,30,0,111,0,1,1,0,26,0,同方知网(北京)技术有限公司,1
1,1,0,65,0,1,1,0,5,0,上海智臻智能网络科技股份有限公司,1
1,30,0,50,0,2,1,0,11,0,华东师范大学,1
1,30,0,102,0,2,1,0,1,0,中国科学院声学研究所,1
1,30,0,23,0,2,1,0,12,0,国际商业机器公司,1
1,30,0,21,0,2,1,0,10,0,国际商业机器公司,1
1,30,0,98,0,1,1,0,16,0,陈余,0
1,30,0,72,0,1,1,0,24,0,北京美智医疗科技有限公司,1
1,1,0,111,0,2,54,0,22,0,中国科学院深圳先进技术研究院,1
1,30,0,52,0,2,1,0,11,0,华东师范大学,1
1,30,0,40,1,1,13,0,4,0,竹间智能科技(上海)有限公司,1
1,1,0,87,0,1,26,0,9,0,哈尔滨工业大学,1
1,30,0,58,0,1,19,0,6,0,清华大学,1
1,30,0,63,0,1,1,0,12,0,北京百度网讯科技有限公司,1
1,30,0,110,0,1,1,0,17,0,浙江理工大学,1
1,30,0,187,0,2,1,0,16,0,中国科学院声学研究所,1
1,30,0,90,0,1,24,0,9,0,哈尔滨工业大学,1
1,30,0,33,0,1,21,0,13,0,网易(杭州)网络有限公司,1
1,30,0,61,0,2,21,0,6,0,清华大学,1
1,30,0,78,0,1,1,0,18,0,广东电网有限责任公司电力科学研究院,0
1,30,0,52,0,1,1,0,7,0,阿里巴巴集团控股有限公司,1
1,30,0,32,0,2,19,0,1,0,美国西门子医疗解决公司,1
1,1,0,81,0,1,30,0,14,0,腾讯科技(深圳)有限公司,1
1,1,0,69,0,2,1,0,13,0,阿里巴巴集团控股有限公司,1
1,1,0,83,0,2,33,0,16,0,合肥工业大学,0
1,30,0,110,0,1,1,0,15,0,国家电网公司,0
1,30,1,104,1,1,1,0,16,0,俞志晨,1
1,30,0,103,0,1,1,0,22,0,王立山,1
1,30,0,58,0,2,1,0,11,0,科大讯飞股份有限公司,1
1,30,0,152,0,1,51,0,19,0,北京奥齐都市网络科技有限公司,0
1,30,0,101,0,1,1,0,18,0,山西奥克斯电子系统工程中心,0
1,30,0,169,0,1,1,0,13,0,国家电网公司,0
1,1,0,124,0,1,81,0,20,0,英特吉姆公司股份有限公司,1
1,1,0,130,1,1,44,1,30,0,阜阳职业技术学院,1
1,30,0,164,0,1,1,0,20,0,广州真诺电子科技有限公司,1
1,30,0,432,0,1,1,0,43,0,天津贝德曼科技有限公司,1
1,30,0,139,1,1,1,0,17,0,北京光年无限科技有限公司,1
1,30,0,133,0,1,1,0,21,0,北京大学深圳研究生院,1
1,30,0,70,0,2,1,0,7,0,武汉烽火普天信息技术有限公司,1
1,30,0,53,0,1,1,0,6,0,镇江金软计算机科技有限责任公司,1
1,1,0,56,0,2,1,0,11,0,科大讯飞股份有限公司,1
1,30,0,146,0,1,1,0,1,0,BCL计算机有限公司,1
1,1,0,82,0,2,1,0,11,0,腾讯科技(深圳)有限公司,1
1,30,0,36,0,2,18,0,11,0,国际商业机器公司,1
1,30,0,164,0,1,85,0,23,0,中国葛洲坝集团股份有限公司,0
1,30,0,98,0,1,36,0,15,0,中国科学院对地观测与数字地球科学中心,1
1,30,0,81,0,1,23,0,14,0,广州市昊链信息科技股份有限公司,1
1,30,0,80,0,1,30,0,11,0,中国电信股份有限公司,1
1,30,0,33,0,2,1,0,1,0,纽昂斯通讯公司,1
1,30,0,193,0,1,92,0,26,0,华中科技大学,1
1,30,0,164,0,1,1,0,8,0,中国葛洲坝集团股份有限公司,0
1,30,0,90,1,1,1,0,7,0,广州中浩控制技术有限公司,1
1,30,0,63,0,1,1,0,8,0,北京标杆网络技术有限公司,1
1,1,0,71,0,2,1,0,5,0,北京百度网讯科技有限公司,1
1,1,0,124,0,1,1,0,14,0,北京华宇元典信息服务有限公司,1
1,30,0,115,0,1,45,0,13,0,重庆龙工场跨境电子商务投资有限公司,1
1,30,0,206,0,1,1,0,25,0,程欧亚,0
1,30,0,229,1,1,1,0,38,0,湖南大学,1
1,30,0,99,0,2,32,0,24,0,中国船舶重工集团公司第七一九研究所,0
1,30,0,92,0,1,1,0,14,0,国网山东省电力公司潍坊供电公司,1
1,30,0,66,0,1,11,0,13,0,浙江兴旺宝明通网络有限公司,0
1,1,0,110,0,2,1,0,20,0,海南职业技术学院,1
1,30,0,75,0,1,1,0,19,0,上海大潮电子技术有限公司,1
1,1,0,111,0,1,1,0,11,0,南京安讯科技有限责任公司,0
1,1,0,214,1,1,1,0,36,0,湖南大学,1
1,1,0,282,0,2,1,0,41,0,华融融通(北京)科技有限公司,1
1,30,0,109,0,2,44,0,20,0,I·波波夫,1
1,1,0,98,0,1,30,0,19,0,克拉玛依红有软件有限责任公司,1
1,30,0,99,0,1,30,0,20,0,克拉玛依红有软件有限责任公司,1
1,30,0,149,0,1,47,0,23,0,马上游科技股份有限公司,0
1,30,0,70,0,1,1,0,11,0,天津海量信息技术有限公司,1
1,30,0,28,0,2,14,0,1,0,纽昂斯通讯公司,1
1,30,0,55,0,2,1,0,16,0,中国银联股份有限公司,1
1,30,0,93,1,1,26,0,21,0,长春工业大学,1
1,30,0,112,1,1,51,1,23,0,西北大学,1
1,1,0,76,0,2,20,0,16,0,腾讯科技(深圳)有限公司,1
1,1,0,41,0,1,23,0,15,0,国际商业机器公司,1
1,30,0,30,0,1,1,0,1,0,微软技术许可有限责任公司,1
1,30,1,90,1,1,25,0,21,0,长春工业大学,1
1,30,0,44,0,1,1,0,13,0,北京百度网讯科技有限公司,1
1,30,0,52,0,1,1,0,8,0,腾讯科技(深圳)有限公司,1
1,1,0,87,0,1,1,0,15,0,吉旗(成都)科技有限公司,1
1,1,0,52,0,1,1,0,9,0,腾讯科技(深圳)有限公司,1
1,30,0,49,0,1,13,0,10,0,北京百度网讯科技有限公司,1
1,30,0,107,0,1,1,0,7,0,无锡雅座在线科技发展有限公司,0
1,30,0,119,1,1,55,1,23,0,西北大学,1
1,1,0,68,0,1,1,0,1,0,国际商业机器公司,1
1,1,0,21,0,1,1,0,12,0,威盛电子股份有限公司,1
1,30,1,87,1,1,1,0,20,0,西安迪戈科技有限责任公司,1
1,30,0,32,0,1,9,0,8,0,中国移动通信集团公司,1
1,30,0,51,0,2,21,0,1,0,国际商业机器公司,1
1,30,0,94,0,2,17,0,20,0,中兴通讯股份有限公司,1
1,30,0,56,0,2,25,0,1,0,国际商业机器公司,1
1,1,0,153,0,1,1,0,7,0,无锡雅座在线科技股份有限公司,0
1,30,0,88,0,1,1,0,19,0,中国电子科技集团公司第三十研究所,1
1,30,1,33,1,1,1,0,8,0,中国移动通信集团公司,1
1,30,0,36,0,1,13,0,8,0,中国移动通信集团公司,1
1,1,0,98,0,1,1,0,19,0,中国电子科技集团公司第三十研究所,1
1,30,0,36,0,2,1,0,8,0,北京锐安科技有限公司,1
1,30,0,74,0,2,1,0,14,0,四川长虹电器股份有限公司,1
1,30,1,33,1,1,1,0,8,0,中国移动通信集团公司,1
1,1,0,248,1,1,1,0,49,0,中交公路长大桥建设国家工程研究中心有限公司,1
1,30,0,101,0,1,40,0,18,0,中南大学,1
1,30,0,94,0,1,1,0,19,0,南京华设科技股份有限公司,0
1,30,0,115,0,1,36,0,17,0,天津市农业技术推广站,0
0,30,0,97,0,1,1,0,20,0,四川衡驰信息技术有限公司,0
1,1,0,232,0,1,29,0,26,0,百度在线网络技术(北京)有限公司,1
1,30,0,24,0,2,1,0,8,0,乐天株式会社,1
1,30,0,76,0,1,13,0,15,0,中国科学院对地观测与数字地球科学中心,1
1,30,0,223,0,1,1,0,26,0,百度在线网络技术(北京)有限公司,1
1,30,0,36,0,1,1,0,7,0,北京亿赞普网络技术有限公司,1
1,30,0,19,0,2,1,0,9,0,新诺普系统公司,1
1,30,0,153,0,1,63,0,21,0,杜向阳,1
1,30,0,124,0,1,1,0,19,0,湖南微软创新中心有限公司,1
1,30,0,90,0,1,56,0,12,0,北京交通大学,1
1,30,0,36,0,2,1,0,13,0,新诺普系统公司,1
1,21,0,63,0,1,1,0,14,0,成都四象联创科技有限公司,1
1,30,0,34,0,1,1,0,7,0,北京亿赞普网络技术有限公司,1
1,30,0,73,0,1,1,0,13,0,浙江理工大学,1
1,1,0,129,0,1,26,0,32,0,中国电力科学研究院,0
1,30,0,132,0,1,40,0,19,0,南京大学,1
1,30,0,52,1,1,13,0,9,0,深圳市科漫达智能管理科技有限公司,1
1,30,0,66,0,2,1,0,8,0,北京中科创益科技有限公司,1
1,30,0,1,0,2,1,0,1,0,上海智臻智能网络科技股份有限公司,1
1,30,0,91,0,2,1,0,9,0,江苏曼荼罗软件股份有限公司,1
1,30,0,144,0,1,17,0,7,0,东莞中国科学院云计算产业技术创新与育成中心,1
1,30,0,71,0,1,1,0,15,0,南昌大学第二附属医院,1
1,30,1,52,1,2,1,0,8,0,百度在线网络技术(北京)有限公司,1
1,30,0,153,0,1,1,0,38,0,中海石油(中国)有限公司湛江分公司,0
1,30,0,53,0,1,1,0,1,0,中国科学院声学研究所,1
1,30,0,66,0,2,1,0,13,0,科大讯飞股份有限公司,1
1,1,0,56,0,1,20,0,16,0,北京京东尚科信息技术有限公司,1
1,30,0,71,0,1,1,0,13,0,广州特道信息科技有限公司,1
1,30,0,67,0,1,1,0,1,0,万德洪,1
1,30,0,81,0,1,1,0,17,0,上海朗迈网络科技有限公司,1
1,30,0,39,0,2,1,0,17,0,北京航空航天大学,1
1,1,0,62,1,2,1,0,7,0,上海智臻智能网络科技股份有限公司,1
1,30,0,97,0,1,20,0,12,0,北京仿真中心,1
1,30,0,196,1,1,1,0,25,0,西安迪戈科技有限责任公司,1
1,30,0,70,0,2,1,0,8,0,国家电网公司,1
1,1,0,90,1,2,1,0,19,0,北京海融兴通信息安全技术有限公司,1
1,30,0,116,0,1,1,0,13,0,北京邮电大学,1
1,30,0,144,0,1,44,0,24,0,河海大学,1
1,30,0,49,0,1,31,0,1,0,北方交通大学,1
1,30,0,43,0,1,1,0,1,0,声钰科技,1
1,30,0,41,0,2,1,0,1,0,微软技术许可有限责任公司,1
1,30,0,48,0,1,1,0,6,0,深圳市华成峰科技有限公司,1
1,30,0,52,0,1,1,0,14,0,联想(北京)有限公司,1
1,30,1,41,1,2,1,0,7,0,北大方正集团有限公司,1
1,1,0,23,0,1,1,0,4,0,成都才智圣有科技有限责任公司,1
1,30,0,50,0,1,1,0,7,0,北京云知声信息技术有限公司,1
1,1,0,59,0,2,20,0,9,0,北京神州泰岳软件股份有限公司,1
1,1,0,65,0,2,27,0,9,0,北京神州泰岳软件股份有限公司,1
1,30,0,102,0,2,25,0,20,0,华为技术有限公司,1
1,30,0,46,0,1,1,0,1,0,国际商业机器公司,1
0,30,0,54,0,1,1,0,19,0,中国科学院自动化研究所北仑科学艺术实验中心,1
1,30,0,1,0,1,1,0,1,0,北京云知声信息技术有限公司,1
1,1,0,38,0,1,21,0,14,0,株式会社NTT都科摩,1
1,1,0,61,0,1,22,0,10,0,北京优特捷信息技术有限公司,1
1,1,0,91,1,1,1,0,15,0,张宝华,1
1,30,0,134,0,1,1,0,13,0,魏新成,1
1,30,0,52,0,1,16,0,7,0,华为技术有限公司,1
1,1,0,42,0,1,1,0,8,0,马上消费金融股份有限公司,1
0,1,0,65,0,1,1,0,15,0,国网节能服务有限公司,0
1,30,0,47,1,1,1,0,3,0,北京航天长峰科技工业集团有限公司,1
1,30,0,72,1,1,1,0,15,0,上海智臻智能网络科技股份有限公司,1
1,30,0,87,0,1,25,0,12,0,上海交通大学,1
1,30,0,143,0,1,1,0,21,0,甄益权,0
1,30,0,52,0,1,16,0,7,0,华为技术有限公司,1
1,30,1,261,1,2,145,1,36,0,北京文因互联科技有限公司,1
1,30,0,30,0,1,1,0,13,0,联想(北京)有限公司,1
1,1,0,65,1,1,1,0,15,0,上海智臻智能网络科技股份有限公司,1
1,30,0,40,0,1,1,0,8,0,索尼株式会社,1
1,30,0,212,0,2,70,0,17,0,国家计算机网络与信息安全管理中心,1
1,30,0,39,0,1,1,0,4,0,北京云知声信息技术有限公司,1
1,1,0,36,0,1,1,0,10,0,公安部第三研究所,1
0,30,0,1,0,1,1,0,1,0,广州市保进网络科技有限公司,1
1,1,0,35,0,2,1,0,1,0,三星电子株式会社,1
1,1,0,85,0,1,1,0,16,0,北京数字通软件有限公司,1
1,29,0,61,0,1,1,0,10,0,中国电子科技集团公司第五十四研究所,1
1,30,0,46,0,1,1,0,5,0,联想(北京)有限公司,1
1,30,0,44,0,1,1,0,7,0,索尼株式会社,1
0,30,0,49,1,1,27,0,10,0,曹文梁,1
1,1,0,77,0,1,22,0,14,0,北京百度网讯科技有限公司,1
1,1,0,118,0,2,16,0,18,0,广东工业大学,1
1,29,0,61,0,1,1,0,11,0,中国电子科技集团公司第五十四研究所,1
1,30,0,112,0,2,1,0,18,0,广东工业大学,1
1,30,0,43,0,1,1,0,9,0,沃伊斯博克斯科技公司,0
1,23,1,42,1,1,1,0,8,0,成都志炎科技有限公司,1
1,30,0,198,0,2,64,0,16,0,国家计算机网络与信息安全管理中心,1
1,30,0,1,0,1,1,0,1,0,中国南方电网有限责任公司,0
1,30,0,74,0,1,1,0,10,0,微软公司,1
1,30,0,67,0,2,1,0,13,0,携程计算机技术(上海)有限公司,1
1,30,0,47,0,2,1,0,17,0,西门子共同研究公司,1
1,1,0,95,0,1,28,0,19,0,广东电网有限责任公司江门供电局,1
1,30,0,358,0,1,241,0,56,0,杨春阳,1
1,30,0,34,0,2,14,0,8,0,深圳市优必选科技有限公司,1
1,30,0,60,0,1,20,0,13,0,北大方正集团有限公司,1
1,30,0,98,0,1,1,0,17,0,南京金娃娃软件科技有限公司,1
1,30,0,103,0,1,1,0,9,0,杭州剧院,1
1,30,0,54,0,1,13,0,7,0,无锡语意电子政务软件科技有限公司,1
1,30,0,51,0,1,1,0,23,0,SDL有限公司,1
1,1,0,34,0,1,1,0,12,0,沃伊斯博克斯科技公司,0
1,1,0,50,0,1,1,0,1,0,谷歌有限责任公司,1
1,1,0,126,1,2,1,0,14,0,武汉楚鼎信息技术有限公司,0
1,30,0,1,0,1,1,0,1,0,沃伊斯博克斯科技公司,0
1,30,0,74,0,1,1,0,10,0,微软公司,1
1,1,0,52,0,1,19,0,12,0,竹间智能科技(上海)有限公司,1
1,30,0,80,0,1,1,0,19,0,北京北信源软件股份有限公司,1
1,1,0,63,0,1,1,0,9,0,长沙云昊信息科技有限公司,1
1,1,0,50,0,2,1,0,9,0,北京神州泰岳软件股份有限公司,1
1,30,0,114,0,1,1,0,21,0,华东师范大学,0
1,30,0,80,0,1,31,0,11,0,四川长虹电器股份有限公司,1
1,1,0,84,0,1,1,0,19,0,华南理工大学,1
1,30,0,63,0,1,26,0,4,0,无锡语意电子政务软件科技有限公司,1
1,30,0,1,0,1,1,0,1,0,远光软件股份有限公司,1
0,30,0,98,0,2,1,0,6,0,陈学谊,0
1,30,0,66,0,2,1,0,9,0,美国西门子医疗解决公司,1
1,30,0,98,0,2,1,0,6,0,陈学谊,0
0,30,0,75,0,1,1,0,18,0,玉林师范学院,1
1,30,0,73,0,1,13,0,7,0,北京大学,1
1,30,0,142,0,1,41,0,27,0,浪潮电子信息产业股份有限公司,1
1,1,0,72,0,1,26,0,11,0,迈吉客科技(北京)有限公司,1
1,1,0,42,0,2,23,0,6,0,爱因互动科技发展(北京)有限公司,1
1,30,0,65,0,2,1,0,7,0,海信集团有限公司,1
1,1,0,57,0,2,21,0,8,0,安徽华贞信息科技有限公司,1
1,30,0,53,0,1,33,0,10,0,吕晓东,1
1,30,0,53,0,1,9,0,11,0,华为技术有限公司,1
1,30,0,64,0,1,1,0,10,0,深圳市微我科技有限公司,1
1,1,0,29,0,1,1,0,5,0,中国电信股份有限公司,1
1,30,0,67,0,2,1,0,6,0,安徽华贞信息科技有限公司,1
1,30,0,52,0,2,14,0,8,0,中国银联股份有限公司,1
1,1,0,83,0,1,1,0,19,0,红有软件股份有限公司,1
1,30,0,56,0,2,21,0,8,0,安徽华贞信息科技有限公司,1
1,30,0,46,0,1,1,0,14,0,克拉玛依红有软件有限责任公司,1
1,30,0,59,0,1,1,0,15,0,黄新亚,1
1,1,0,110,1,2,50,0,15,0,浙江大学,1
1,30,0,110,0,1,50,0,12,0,深圳市智客网络科技有限公司,1
1,30,0,113,0,1,1,0,22,0,刘莎,1
1,30,0,81,0,1,24,0,14,0,广州招商速建互联网信息科技有限公司,1
1,1,0,88,0,1,1,0,17,0,北京京东尚科信息技术有限公司,1
1,1,0,77,0,1,1,0,13,0,国云科技股份有限公司,1
